U:0,U:1,U:2
0.0054138,-0.00099928,9.49E-23
0.0070682,-0.001341,1.32E-22
0.0088654,-0.0016318,4.01E-23
0.010747,-0.0018508,7.53E-23
0.012647,-0.0019843,0
0.014498,-0.002029,1.74E-20
0.016242,-0.0019917,-1.61E-20
0.017835,-0.0018875,1.50E-20
0.019258,-0.0017359,-1.39E-20
0.020505,-0.0015566,0
0.02159,-0.0013661,0
0.022533,-0.001176,8.61E-23
0.023359,-0.00099322,8.12E-23
0.024091,-0.00082094,1.60E-22
0.024747,-0.00066029,0
0.025344,-0.00051153,-9.30E-21
0.025892,-0.00037474,8.74E-21
0.0264,-0.00025011,-8.84E-21
0.026874,-0.00013785,8.81E-21
0.02732,-3.81E-05,-8.78E-21
0.027741,4.91E-05,1.71E-20
0.02814,0.00012394,4.54E-22
0.02852,0.00018701,-1.77E-20
0.028882,0.00023897,1.76E-20
0.029228,0.0002807,4.66E-22
0.029557,0.00031319,-1.84E-20
0.02987,0.0003375,1.91E-20
0.030165,0.00035467,-9.78E-21
0.030443,0.00036569,1.60E-22
0.030701,0.00037149,0
0.030938,0.00037287,1.11E-20
0.031151,0.00037052,-1.17E-20
0.03134,0.00036505,5.70E-21
0.031504,0.00035694,-6.29E-21
0.03164,0.00034664,2.06E-22
0.031749,0.00033449,0
0.03183,0.00032083,2.30E-22
0.031882,0.00030594,-7.79E-21
0.031906,0.00029005,8.45E-21
0.0319,0.00027339,8.76E-21
0.031865,0.00025613,-9.44E-21
0.031801,0.00023843,-3.11E-22
0.031705,0.00022041,-1.06E-20
0.031576,0.00020215,1.14E-20
0.031414,0.00018375,-3.90E-22
0.031216,0.00016526,2.12E-22
0.03098,0.00014676,0
0.030706,0.00012836,2.49E-22
0.03039,0.00011017,8.84E-21
0.030033,9.24E-05,-2.79E-22
0.029631,7.51E-05,-4.65E-21
0.029183,5.87E-05,-1.12E-20
0.028686,4.34E-05,6.08E-21
0.028134,2.95E-05,-1.03E-22
0.027522,1.72E-05,7.54E-21
0.026841,6.92E-06,-8.21E-21
0.026081,-1.26E-06,4.28E-21
0.025229,-7.17E-06,-4.75E-21
0.024269,-1.08E-05,0
0.023183,-1.22E-05,1.76E-22
0.021947,-1.17E-05,-3.22E-21
0.020533,-9.65E-06,3.49E-21
0.018893,-6.49E-06,3.91E-21
0.016951,-2.79E-06,-4.74E-21
0.014551,6.67E-07,0
0.011291,3.04E-06,1.32E-22
0.0054675,3.82E-06,0
-0.0005906,0.00057394,4.50E-19
-0.0011784,0.0012594,-3.48E-19
-0.0013672,0.001484,-1.88E-19
-0.0013923,0.0015422,1.23E-19
-0.0013318,0.0015284,9.30E-20
-0.0012034,0.0014678,-6.41E-23
-0.0010045,0.0013671,-6.90E-20
-0.00072269,0.0012265,6.10E-23
-0.00033771,0.0010443,0
0.00017663,0.00081779,5.87E-20
0.00085059,0.00054621,1.24E-22
0.001714,0.00023265,-8.64E-23
0.002791,-0.00011399,-2.04E-23
0.0040946,-0.00047838,-5.07E-20
0.005621,-0.00083933,-2.40E-20
0.0073453,-0.001172,2.30E-20
0.009221,-0.0014512,2.16E-20
0.011183,-0.0016565,-4.03E-20
0.013156,-0.0017758,1.90E-20
0.015064,-0.001808,-1.73E-20
0.016845,-0.0017627,1.63E-20
0.018454,-0.0016573,0
0.019874,-0.0015124,1.41E-20
0.021107,-0.0013472,-2.61E-20
0.02217,-0.0011765,1.20E-20
0.023092,-0.0010094,-1.75E-22
0.023899,-0.00085078,0
0.024615,-0.00070245,1.03E-20
0.02526,-0.00056484,-9.56E-21
0.025848,-0.00043803,0
0.02639,-0.00032211,8.67E-21
0.026894,-0.0002173,1.57E-22
0.027365,-0.00012378,1.65E-22
0.027808,-4.16E-05,-1.80E-20
0.028226,2.94E-05,9.09E-21
0.028622,8.96E-05,8.79E-21
0.028998,0.00013973,-9.32E-21
0.029354,0.00018047,-2.91E-22
0.029691,0.00021275,9.63E-21
0.03001,0.00023755,-9.74E-21
0.030308,0.00025582,-1.02E-20
0.030585,0.00026844,2.14E-20
0.030839,0.00027625,-2.22E-20
0.03107,0.00027994,1.10E-20
0.031275,0.00028016,3.73E-22
0.031454,0.00027742,0
0.031604,0.00027217,-6.97E-21
0.031727,0.00026481,7.25E-21
0.03182,0.00025566,7.25E-21
0.031884,0.00024503,-8.06E-21
0.031919,0.00023319,0
0.031925,0.00022034,-8.59E-21
0.0319,0.0002067,-5.19E-23
0.031845,0.00019243,1.00E-20
0.031759,0.00017765,0
0.03164,0.00016248,0
0.031487,0.00014699,3.83E-22
0.031299,0.00013129,6.63E-21
0.031073,0.00011543,-1.44E-20
0.030808,9.95E-05,8.06E-21
0.030501,8.37E-05,2.66E-22
0.030152,6.81E-05,-8.99E-21
0.029758,5.30E-05,9.46E-21
0.029317,3.86E-05,5.50E-21
0.028824,2.52E-05,-6.36E-21
0.028277,1.31E-05,2.04E-22
0.027668,2.55E-06,7.11E-21
0.026988,-6.11E-06,-7.51E-21
